_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
140,2547,1091,WATER'S EDGE PROMENADE,Park,Beach,115 Queens Quay E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2547,"{""coordinates"": [[-79.3642273612318, 43.6438974108538]], ""type"": ""MultiPoint""}"
141,505,57,BALMORAL PARK,Park,"Pickleball Court, Playground, Tennis Court",170 Faywood Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=505,"{""coordinates"": [[-79.4498857976665, 43.7448633231671]], ""type"": ""MultiPoint""}"
142,2605,654,LUCY TOT LOT,Park,Playground,2 Sneath Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2605,"{""coordinates"": [[-79.2855844799808, 43.6908304267293]], ""type"": ""MultiPoint""}"
143,2405,578,KENWORTHY PARK,Park,Playground,2 A Kenworthy Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2405,"{""coordinates"": [[-79.2832846477916, 43.6905908588076]], ""type"": ""MultiPoint""}"
144,2030,413,GLEDHILL PARK,Park,Playground,125 Gledhill Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2030,"{""coordinates"": [[-79.3099123132192, 43.6908497979157]], ""type"": ""MultiPoint""}"
145,2739,1290,EGLINTON - GILBERT PARKETTE,Park,None,504 Gilbert Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2739,"{""coordinates"": [[-79.4637194901539, 43.69216709418]], ""type"": ""MultiPoint""}"
146,185,1479,RIDGEWOOD PARKETTE,Park,None,24 Ridgewood Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=185,"{""coordinates"": [[-79.421518669892, 43.691654376312]], ""type"": ""MultiPoint""}"
147,227,1019,TADDLE CREEK PARK,Park,Playground,40 Bedford Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=227,"{""coordinates"": [[-79.3987477828188, 43.6699320683738]], ""type"": ""MultiPoint""}"
148,2140,1188,BELMONT PARKETTE,Park,None,105 Belmont St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2140,"{""coordinates"": [[-79.3924809173767, 43.6747114865305]], ""type"": ""MultiPoint""}"
149,296,181,CHARLES G. WILLIAMS PARK,Park,"Basketball Court, Playground",75 Wabash Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=296,"{""coordinates"": [[-79.443215187631, 43.6472989154183]], ""type"": ""MultiPoint""}"
150,2706,536,J.T. WATSON PARKETTE,Park,Playground,605 Ridelle Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2706,"{""coordinates"": [[-79.4507125098432, 43.7015009628446]], ""type"": ""MultiPoint""}"
151,1453,44,ARENA GARDENS,Park,Playground,78 Mutual St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1453,"{""coordinates"": [[-79.3755673437528, 43.6558783734213]], ""type"": ""MultiPoint""}"
152,177,739,MOSS PARK,Park,"Basketball Court, Playground, Tennis Court",150 Sherbourne St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=177,"{""coordinates"": [[-79.3710758365385, 43.6550677751013]], ""type"": ""MultiPoint""}"
153,2441,1541,TOMMY THOMPSON PARK,Park,Washroom,1 Leslie St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2441,"{""coordinates"": [[-79.3292861912458, 43.633010634814]], ""type"": ""MultiPoint""}"
154,158,969,SONYA'S PARK,Park,Playground,63 Oxford St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=158,"{""coordinates"": [[-79.4020114829566, 43.6559549211991]], ""type"": ""MultiPoint""}"
155,876,1107,WESTGROVE PARK,Park,"Basketball Court, Outdoor Dry Pad, Pickleball Court, Playground, Sports Field, Tennis Court, Washroom",15 Redgrave Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=876,"{""coordinates"": [[-79.5676612121936, 43.6818208069823]], ""type"": ""MultiPoint""}"
156,530,890,ROSEDALE RAVINE LANDS,Park,None,450 Bloor St E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=530,"{""coordinates"": [[-79.3737254664113, 43.673035064231]], ""type"": ""MultiPoint""}"
157,2183,146,CAIRNS AVENUE PARKETTE,Park,None,93 Cairns Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2183,"{""coordinates"": [[-79.3154825320407, 43.6716973139734]], ""type"": ""MultiPoint""}"
158,988,221,COLONY PARK,Park,Playground,2100 Martin Grove Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=988,"{""coordinates"": [[-79.598108622486, 43.7469058304461]], ""type"": ""MultiPoint""}"
159,848,593,LA ROSE PARK,Park,"Playground, Sports Field",65 La Rose Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=848,"{""coordinates"": [[-79.5178416308354, 43.6855723989721]], ""type"": ""MultiPoint""}"
